	exp1
04564	0.501472718
06928	0.501176077
00140	0.500895908
03178	0.493513247
00255	0.492449954
02515	0.490412058
02515	0.489339977
02515	0.487520565
11188	0.482351198
05941	0.481886587
00903	0.478875321
06928	0.474921758
00255	0.464270199
03178	0.459426938
00255	0.458335451
00819	0.456947987
01825	0.454893879
11188	0.453659938
09647	0.449201806
06928	0.449038111
03178	0.444649415
01875	0.442143559
05941	0.441295501
00903	0.441148574
01110	0.435854671
00826	0.432864059
09647	0.430778519
12526	0.430091581
02515	0.428437236
03178	0.424966701
00903	0.421526641
08955	0.412457384
14376	0.404501684
00524	0.404058347
06928	0.397889309
18696	0.392396872
09647	0.391054092
00627	0.390851976
00218	0.389193837
01825	0.387885548
13721	0.384766721
00573	0.381893967
08658	0.380554773
01697	0.37464779
13721	0.36931985
00861	0.369127124
01110	0.365666216
03178	0.365318561
14376	0.363105602
01462	0.360376902
01551	0.360126507
09647	0.35998841
09647	0.359712163
09647	0.359229419
00524	0.358526791
13787	0.357477653
00981	0.355973482
09647	0.354049513
01885	0.352871233
01641	0.347261797
01719	0.34626644
03178	0.340868173
20215	0.340213748
09647	0.339628748
09647	0.338023498
04498	0.337969592
11262	0.335689732
02740	0.335162006
01692	0.325290681
00432	0.324641604
08658	0.324400183
01184	0.323636271
12077	0.32313117
09647	0.322173218
03428	0.321968943
12526	0.319291925
01110	0.31875403
08955	0.308625898
11262	0.307292919
09647	0.306261735
04498	0.305070106
01692	0.304922632
13721	0.304348645
02515	0.298091967
06928	0.296730872
00826	0.29393158
02515	0.289516203
00255	0.288647996
00569	0.285677528
04498	0.284356458
09647	0.28140412
06047	0.280699781
02515	0.280560211
07304	0.279526486
01649	0.277424905
00140	0.275905745
08955	0.265015994
03178	0.264071425
06067	0.262216622
00850	0.254405003
05609	0.252677079
00635	0.247514488
02641	0.246914342
04505	0.244680895
08955	0.244600447
08955	0.240430446
00573	0.237950045
02515	0.237463476
01611	0.231415883
03178	0.231091079
09756	0.229807574
03178	0.228354502
00903	0.22801118
01641	0.224501009
00569	0.22227692
06928	0.221573246
08070	0.219991498
06118	0.215804571
01649	0.214370995
00547	0.212312827
02515	0.20772009
08658	0.207161091
09647	0.205833193
01883	0.204048213
13721	0.198994944
00524	0.197175631
05609	0.196693694
01749	0.193835419
08658	0.19173937
08070	0.191699474
05941	0.191593854
11188	0.191065213
00276	0.190920545
04498	0.190234515
01110	0.184153952
08658	0.180988171
00903	0.178637947
09647	0.178088089
06928	0.174219879
01887	0.174106919
00031	0.173582157
04505	0.173034005
04505	0.172051847
08658	0.171868281
00858	0.171427447
03178	0.171248741
03841	0.166200256
00903	0.164088917
03178	0.162067493
09647	0.16087842
18082	0.157400348
18696	0.15394764
08955	0.143927395
04498	0.143734531
09647	0.142885046
06047	0.141024485
02515	0.138637251
08955	0.138561891
00411	0.135397942
04505	0.13053603
04505	0.129798035
09756	0.128499838
09756	0.127119859
05955	0.125141861
02515	0.115918876
18082	0.114081932
01623	0.113239103
08955	0.112814716
06928	0.108622181
02515	0.107891886
02372	0.105931646
05609	0.105166922
06118	0.096254929
03178	0.0957612
04505	0.09215188
13829	0.084820231
06928	0.084612954
01551	0.083897067
00255	0.083564247
03178	0.079902295
00411	0.078842874
02515	0.075972798
01764	0.072097269
11188	0.071672858
04498	0.057075871
02515	0.055718362
07508	0.05446408
00255	0.053494441
01074	0.053202043
09756	0.052990914
13821	0.05050231
00826	0.048932632
04505	0.047468325
00234	0.046143905
06928	0.045658329
00654	0.040545362
00859	0.039948945
00826	0.038934554
01110	0.034312652
00645	0.033455814
04040	0.033367151
00859	0.028988656
01623	0.028875447
10150	0.02740003
13721	0.02667913
03178	0.026412913
01110	0.025228065
00432	0.022411863
06928	0.021288714
09647	0.02037891
01526	0.015225194
01164	0.015025123
01183	0.014575186
00981	0.013444139
00234	0.013194517
00276	0.011925381
00903	0.009726914
13721	0.00674536
08099	0.006719002
00411	0.005941734
13421	0.003963672
03527	0.003192959
01710	0.003082536
07304	0.002864124
00826	0.002242695
00255	0.000929002
03178	-0.003701654
02515	-0.004850057
09756	-0.00550349
05609	-0.005515229
02515	-0.007265414
09647	-0.007380171
03439	-0.007494327
06118	-0.009023366
00031	-0.010362235
10150	-0.010720412
03178	-0.014073976
06928	-0.014112994
04498	-0.014893697
08658	-0.015314231
09647	-0.016291465
09647	-0.017536648
00573	-0.019869448
02515	-0.022917106
04564	-0.024510384
07508	-0.033674548
00903	-0.034945027
02515	-0.035369159
00864	-0.038122177
13721	-0.042416445
05609	-0.043933428
07304	-0.044945039
13917	-0.045691986
01754	-0.046361435
03165	-0.049349231
02515	-0.050545266
00903	-0.052395949
03178	-0.052455906
04498	-0.055618736
00573	-0.055684918
00873	-0.056234815
00903	-0.058893194
04505	-0.060867215
01110	-0.061077093
01164	-0.061493535
18082	-0.061965896
01611	-0.066537626
03178	-0.066542269
08955	-0.069858023
08955	-0.072734938
03527	-0.073257818
04564	-0.073786083
06928	-0.074786654
03526	-0.075232707
09647	-0.082362669
00031	-0.083642908
05858	-0.083918047
01711	-0.084286143
08955	-0.087295492
00903	-0.089983385
01626	-0.091733451
19389	-0.092966873
03178	-0.10514102
00606	-0.108349146
08955	-0.11358649
00903	-0.11457266
01170	-0.11465441
20772	-0.115098231
00033	-0.119311753
03178	-0.119583544
01626	-0.119937935
02515	-0.124291009
00868	-0.127527887
03178	-0.130435762
00031	-0.135386541
00903	-0.137268354
03526	-0.137672725
09647	-0.138529204
00903	-0.140266445
08955	-0.144913876
07304	-0.147579041
01110	-0.151292128
02515	-0.15230686
00873	-0.15295654
01057	-0.153721408
01074	-0.155729192
04498	-0.160318404
09647	-0.160777872
00903	-0.161580838
09647	-0.168183145
00860	-0.171195612
00903	-0.172672075
03526	-0.173717149
06928	-0.174183632
01597	-0.176753026
02515	-0.177867584
11126	-0.177976454
05609	-0.183244498
01110	-0.186340764
03526	-0.186766555
06928	-0.186886516
00903	-0.188882573
00031	-0.19320923
05609	-0.193785286
01110	-0.193963749
11188	-0.194380684
13721	-0.19476945
02641	-0.202694006
04505	-0.205574413
08955	-0.205730569
05941	-0.206978957
00036	-0.209502004
00432	-0.209886727
03165	-0.210582654
01623	-0.211836611
02515	-0.212126685
08955	-0.21253208
05609	-0.212751228
09647	-0.213207997
01850	-0.213828204
09756	-0.219160865
01876	-0.220377697
02740	-0.221176821
09647	-0.221910328
02740	-0.224168626
00903	-0.22783509
00036	-0.227961052
02740	-0.230382838
01184	-0.232011083
00605	-0.232217944
00903	-0.233920491
00872	-0.236542744
02515	-0.242251744
00903	-0.24290093
08955	-0.248517444
00967	-0.249196499
05609	-0.251718358
11126	-0.254776722
00861	-0.256842186
02515	-0.256989509
02740	-0.256992536
08658	-0.257153083
06067	-0.259051825
05955	-0.26644069
01597	-0.269039658
05609	-0.269736395
02740	-0.271058079
01881	-0.271869582
02372	-0.272697509
08955	-0.273553189
08955	-0.274994553
12350	-0.276030954
08955	-0.276704083
01885	-0.27789459
02515	-0.283630443
03178	-0.288808043
09647	-0.288842276
06928	-0.290612019
00903	-0.290966649
02515	-0.292166088
11188	-0.292810425
02740	-0.294103611
09647	-0.294700603
04498	-0.298223776
06928	-0.298279049
01880	-0.299097368
09647	-0.301696736
06928	-0.30338954
06928	-0.304578136
01880	-0.311840181
00655	-0.312427243
00255	-0.314368187
02740	-0.314730225
08955	-0.31557126
02740	-0.317313005
02515	-0.318086959
00297	-0.318703525
00872	-0.321371222
05609	-0.324698576
01074	-0.326332537
01110	-0.330279674
05609	-0.330655086
00903	-0.333155563
06928	-0.335318234
09647	-0.336747671
03178	-0.338166456
00134	-0.338592512
05609	-0.33861314
13721	-0.343464336
01703	-0.350230307
00903	-0.350444188
00052	-0.351111322
00255	-0.351461957
11787	-0.351569683
13821	-0.355238843
05609	-0.356616501
11262	-0.356646105
03178	-0.359104217
08658	-0.362470866
00859	-0.366557801
00826	-0.367842111
02515	-0.370021235
00864	-0.373699925
06047	-0.373785779
05609	-0.376367945
01110	-0.380714325
00276	-0.382858962
00428	-0.383033748
02740	-0.389342124
02515	-0.390601591
13721	-0.390946106
01883	-0.402345776
11126	-0.404599233
01889	-0.407918892
01930	-0.408550446
05609	-0.408879402
09647	-0.409950261
01480	-0.417929242
02740	-0.419141308
06928	-0.420282321
11188	-0.425301892
00428	-0.425695569
01814	-0.428787661
08658	-0.430661631
13721	-0.431370649
00931	-0.434082334
08955	-0.434285885
09756	-0.434899443
20772	-0.436942737
06928	-0.437165467
02515	-0.438734935
02740	-0.439424795
06928	-0.445187097
03439	-0.447262435
02515	-0.452529186
06928	-0.452918262
05609	-0.453089777
03439	-0.455294163
00873	-0.458576046
00432	-0.458995355
13721	-0.459717792
09756	-0.460403406
00903	-0.464063824
05609	-0.465086354
13721	-0.467012869
06928	-0.467305586
06067	-0.470840487
08955	-0.471320118
06928	-0.471395453
02515	-0.472347122
09647	-0.473408824
09647	-0.474745701
04505	-0.475180034
04564	-0.476261003
08955	-0.476876674
08955	-0.477595027
05609	-0.478089476
08658	-0.478773376
03178	-0.481897629
11188	-0.482297988
02740	-0.482393909
00573	-0.485174583
08955	-0.490227815
02740	-0.491470693
11188	-0.49562868
05609	-0.496354944
01887	-0.497503905
02515	-0.49757048
01649	-0.498372308
03164	-0.499205918
12350	-0.502223769
06928	-0.502363974
00605	-0.511071651
00903	-0.511494708
03178	-0.51586784
03781	-0.518821704
01714	-0.525082014
06928	-0.52599379
08955	-0.526269134
09647	-0.527955284
01889	-0.529586895
02740	-0.52976607
09647	-0.530344182
13721	-0.538016621
09647	-0.538409796
01599	-0.539317602
02740	-0.541794271
01693	-0.543875376
09647	-0.544056981
01056	-0.544106789
03178	-0.545698545
01110	-0.54648809
09647	-0.548594597
09647	-0.549297415
05609	-0.555111413
08963	-0.556908492
06067	-0.55954037
04505	-0.561799881
01876	-0.561999238
02740	-0.563327975
03178	-0.565916113
01611	-0.568648559
01191	-0.570847112
01874	-0.571267527
10046	-0.573298957
01595	-0.574924404
04505	-0.577988611
08955	-0.580019328
01754	-0.580377209
06928	-0.580653989
09647	-0.581494307
02740	-0.582946705
09756	-0.584729322
01881	-0.584955639
00524	-0.585841167
02740	-0.586514403
01694	-0.591836357
18082	-0.592756569
03426	-0.593470422
02515	-0.594654664
02740	-0.59480397
02740	-0.595094576
02740	-0.595460905
09647	-0.596321735
00606	-0.596687511
09647	-0.598271048
13721	-0.599347944
01876	-0.599367153
02740	-0.602303643
01930	-0.603130045
00524	-0.60357631
01611	-0.604499355
01462	-0.605892263
01893	-0.608452941
00053	-0.612065063
00297	-0.612216329
02740	-0.616275827
00058	-0.616705355
06928	-0.626264281
01497	-0.626323432
00027	-0.628782438
03164	-0.630154738
13721	-0.630374399
01110	-0.632144647
02740	-0.634076846
15407	-0.63593265
02515	-0.637886435
01497	-0.639270208
03164	-0.644606922
09880	-0.645223139
05609	-0.645956813
00606	-0.646352976
00549	-0.646847709
02515	-0.649342432
05609	-0.653832401
19389	-0.656602351
02515	-0.658719983
00903	-0.65993248
00820	-0.669759859
08955	-0.675314035
01246	-0.675564795
08955	-0.675756911
01750	-0.677117394
02515	-0.682344647
13721	-0.684300244
09756	-0.685417882
08955	-0.688599249
00033	-0.688843587
05609	-0.691556565
01694	-0.694493852
13917	-0.696718623
03164	-0.704678741
01893	-0.712375298
01874	-0.714144987
02291	-0.715592426
06928	-0.716753245
03164	-0.722002778
00052	-0.72495537
13721	-0.730826639
01886	-0.735039768
08955	-0.735603388
09647	-0.736184677
01876	-0.737091099
15407	-0.737901228
00764	-0.738753816
05609	-0.740742002
04505	-0.741115656
00023	-0.743579711
05609	-0.745755007
01889	-0.748564623
13721	-0.749834113
00873	-0.752158964
00654	-0.753725227
06928	-0.758206847
11188	-0.758233203
02740	-0.758341966
05858	-0.763319716
01764	-0.763765824
01611	-0.765595582
09756	-0.767284611
00058	-0.767660381
02515	-0.769223952
02740	-0.772486796
09647	-0.772804702
00627	-0.773057022
13721	-0.778128555
00640	-0.781740331
08955	-0.784088628
02515	-0.784423549
09647	-0.79222878
02740	-0.795471692
13624	-0.800541852
06047	-0.800869126
02515	-0.807991378
00903	-0.809675861
04505	-0.815152977
01520	-0.824133361
00863	-0.830227283
00765	-0.832394616
02515	-0.834443099
03164	-0.834706867
01110	-0.834818291
09647	-0.836119684
08955	-0.836375262
08955	-0.84832515
02515	-0.852964549
06928	-0.854787241
02740	-0.860881855
02641	-0.861227994
00012	-0.861603393
05609	-0.863867978
09647	-0.866238942
01881	-0.869628815
01711	-0.871622525
01711	-0.872009903
09756	-0.873947874
02515	-0.895339295
11126	-0.896874715
09647	-0.897971337
00903	-0.898901941
01693	-0.900291127
08955	-0.901838068
08955	-0.912612057
09647	-0.913670027
08955	-0.923021336
00800	-0.92331872
19269	-0.923870885
00864	-0.941282756
09647	-0.950077531
01764	-0.954234965
05609	-0.959445506
11864	-0.965318877
01764	-0.966335668
01737	-0.968835788
13721	-0.970464865
00867	-0.973054225
01711	-0.977270743
19269	-0.977928138
00764	-0.979027287
09647	-0.982956476
01711	-0.983950811
08955	-0.98794052
01298	-1.002659169
01190	-1.00598409
01875	-1.006243009
00873	-1.014585339
00858	-1.015696848
00864	-1.016647281
01611	-1.027619317
01191	-1.030748612
09647	-1.039294174
03439	-1.043449065
11864	-1.043591796
03178	-1.044681359
02641	-1.046710412
01880	-1.051061078
02515	-1.055470898
01887	-1.056206697
00867	-1.066021702
13721	-1.07695669
01595	-1.077961164
01875	-1.089677775
00524	-1.09095971
09647	-1.09124442
01875	-1.106415217
00549	-1.107489737
02515	-1.11796668
00873	-1.130083623
01611	-1.145786341
03841	-1.15344022
00671	-1.157411712
00629	-1.159807875
00655	-1.163588135
01892	-1.168878717
01825	-1.200810509
14376	-1.204195811
00627	-1.209415299
01825	-1.213289749
01887	-1.235267678
00797	-1.240547815
00567	-1.241420599
01892	-1.245173514
01711	-1.24569091
09756	-1.252466826
09647	-1.253465575
01880	-1.264555555
02515	-1.265293974
05901	-1.271224312
03164	-1.273614469
08955	-1.286183744
02740	-1.292613025
09647	-1.296806522
09647	-1.308497446
01892	-1.335995737
03164	-1.374261218
06928	-1.379392753
02740	-1.389024668
01190	-1.435292712
00903	-1.493611279
03178	-1.550845466
00767	-1.578415069
00863	-1.582247658
00764	-1.607545666
08658	-1.617877586
00863	-1.645173833
08955	-1.692407489
19269	-1.902756431
01817	-1.936382615
17462	2.255914494
01509	2.050927614
13830	1.853417378
01915	1.774945831
00927	1.754051829
00927	1.741489032
01509	1.728286078
00600	1.684812573
19412	1.674011141
17462	1.673416812
01509	1.664872285
09567	1.627827708
00600	1.616288501
01425	1.600829798
01509	1.585060738
01251	1.550972777
01784	1.540077297
01915	1.539127005
19412	1.506514752
09567	1.449805388
18106	1.445139379
17462	1.436588223
01803	1.429716264
01509	1.413840076
00927	1.384463698
01078	1.380414334
00789	1.363315535
12298	1.344052769
00228	1.329801876
18106	1.321507931
01509	1.317981749
01509	1.317152299
01784	1.300830994
01507	1.299916238
00281	1.273756329
01026	1.255531147
12298	1.254980151
18694	1.243673266
15578	1.241409029
01509	1.208729211
00789	1.202300225
17462	1.197306407
12298	1.188901323
00286	1.18309589
17462	1.176070987
09567	1.144906608
18694	1.140398713
00234	1.0932854
03815	1.085386006
00228	1.082628403
09567	1.054980193
19745	1.045699836
21797	1.031773438
09567	1.001135029
17462	0.993926682
15578	0.992047182
19412	0.971103362
15578	0.96835987
01810	0.966801028
19412	0.95972459
02500	0.958450549
02277	0.956327058
09567	0.942714459
01858	0.938865502
00281	0.938096227
15055	0.927456058
17462	0.903124737
00281	0.902896672
01509	0.882745248
01509	0.880639061
01783	0.868017398
00129	0.865186714
19412	0.864247881
17462	0.861366758
19412	0.851464783
18592	0.835928248
00286	0.835107489
02277	0.834386877
00329	0.824029514
01638	0.793569222
02277	0.790627917
10528	0.787894111
02277	0.782642849
02277	0.779243668
18694	0.773855314
15055	0.77268811
01810	0.760550421
02777	0.760487914
01638	0.756453595
00329	0.753698933
07965	0.750734169
00226	0.729778682
18694	0.729140174
00329	0.706984542
19412	0.703805112
02777	0.703757543
00286	0.698664751
01858	0.695948785
18694	0.692247719
01509	0.683322587
01662	0.683278934
01425	0.6813776
09672	0.678243431
00166	0.672050581
12298	0.670772654
19412	0.668993729
13014	0.668575216
09672	0.667890917
01509	0.662905638
01509	0.659170111
07965	0.649661209
17462	0.649050854
00329	0.64619999
10950	0.64469763
17462	0.640778369
19412	0.635013746
00927	0.62077862
12381	0.620078828
02277	0.595939453
01509	0.595909572
02277	0.587750249
01509	0.585575145
02277	0.585193011
01509	0.576446832
19412	0.574608278
19412	0.571892608
08969	0.569601449
08729	0.566930202
00615	0.56275814
00615	0.555845892
00759	0.555744259
08969	0.552476622
00166	0.549164803
01509	0.53258846
01784	0.523933146
01509	0.521538034
00234	0.519721152
00760	0.517319975
19412	0.513200979
01509	0.512656302
01509	0.498471755
01509	0.495963445
01006	0.49271893
17195	0.487446059
21419	0.487111698
09567	0.487026066
18694	0.486492015
17462	0.480258102
01778	0.474196203
01915	0.47249129
00382	0.467714079
00234	0.465679488
19412	0.463061831
01823	0.461330836
13810	0.459516297
00387	0.457958531
00329	0.454582183
02277	0.448355154
08056	0.445978292
00275	0.444000516
03040	0.437720659
01509	0.43375963
17462	0.432257006
18533	0.430089639
17195	0.426921626
01809	0.423324709
01488	0.420569257
19412	0.419135768
17462	0.417957892
19412	0.415139195
00329	0.397347181
01139	0.39674433
18533	0.396314834
00329	0.395872554
10758	0.395184423
01784	0.392771471
01509	0.391632308
02777	0.389854
08969	0.386900576
02684	0.378799474
09672	0.377345483
00927	0.372508347
01507	0.367427274
01139	0.367161533
18106	0.363916653
21419	0.36274641
00609	0.36060497
17462	0.359406148
01509	0.356897704
03416	0.355431427
00927	0.353804986
18694	0.352702851
18694	0.352578757
00329	0.351477316
09672	0.341970769
01637	0.341693843
19412	0.340890226
19412	0.339243738
18533	0.337511885
09672	0.327268025
00311	0.3256987
21797	0.325072859
12298	0.31669771
00311	0.31428747
00329	0.313951458
19745	0.313191462
02684	0.311151128
02684	0.309632625
21797	0.307341402
08969	0.298636864
03783	0.291097277
01509	0.287146066
01823	0.284593791
01807	0.284333265
09567	0.282653704
00624	0.28052136
01509	0.279066061
12298	0.277934137
01783	0.270274892
01507	0.266444718
00329	0.264696454
01809	0.261465917
13810	0.260495508
01783	0.256779775
09567	0.256241809
01507	0.256144805
12381	0.25385384
01465	0.253586975
02500	0.252569413
01509	0.247323187
01778	0.244243924
00163	0.243619999
12381	0.2415363
10950	0.241514302
19412	0.235860944
01672	0.229484809
01915	0.228917314
19412	0.22433523
00329	0.21647433
19745	0.216329738
01920	0.209281602
13014	0.208098146
00111	0.206246836
19412	0.204184611
03040	0.203928532
17462	0.203794428
01507	0.201441883
01859	0.200506807
03040	0.19520924
01507	0.193977069
02684	0.191727765
18694	0.19115332
01972	0.185846974
17195	0.184069531
01509	0.182662746
18106	0.181135778
09567	0.180616358
01637	0.179568132
01509	0.175722122
01509	0.174756128
03783	0.17093215
00384	0.169858505
17450	0.163717064
01509	0.162902936
00166	0.162097883
08969	0.161190779
10950	0.156729691
01509	0.154737592
17462	0.153771666
08969	0.152118193
01535	0.150618107
01637	0.14641711
01897	0.138592848
12381	0.138037319
01915	0.137272118
09567	0.135468107
02684	0.130666573
08969	0.128667445
01509	0.128615589
10764	0.126090391
00940	0.125189207
01509	0.120954895
17462	0.11965662
01507	0.119404961
17195	0.111190936
01535	0.110577217
09567	0.108653473
01915	0.102639469
7767ÿ	0.099028226
18592	0.096725418
10758	0.09384664
09567	0.0933172
12298	0.089282036
00329	0.088629239
17462	0.083400359
00948	0.080064582
08312	0.079617171
09672	0.078105217
01509	0.076813373
01509	0.071889706
00254	0.070035194
19745	0.068181738
01509	0.067556625
13810	0.066663369
18694	0.064139706
01509	0.063717845
17462	0.061908459
09567	0.061601018
17462	0.054482844
01784	0.054334413
03040	0.051447078
02777	0.049677205
01652	0.047919385
03040	0.047463342
10950	0.046352219
17462	0.044812475
00228	0.041341461
09672	0.041193729
03040	0.039644265
00002	0.037546319
01939	0.032340725
17462	0.02918776
10528	0.026432838
00760	0.023644841
17462	0.022834248
03040	0.022574322
13014	0.022360566
02684	0.019514904
03040	0.017979671
01783	0.016571033
11204	0.015475459
03040	0.015288838
01509	0.012662112
00382	0.01211827
10950	0.00859918
03821	0.008046517
01509	0.007009035
01637	0.005908713
12381	0.005805852
01509	0.005251665
03040	0.004820201
01509	0.00460941
13014	0.004279742
03821	0.002561076
08969	0.002530588
09567	0.001739641
01672	0.001501265
19412	-0.003039894
13238	-0.00391764
04085	-0.005288059
01869	-0.008384011
08969	-0.011405523
01509	-0.011561363
00928	-0.012082437
03040	-0.012273775
01509	-0.022139395
17462	-0.024938077
00209	-0.025400515
01509	-0.030735323
02335	-0.031739973
02335	-0.032619313
00254	-0.034533081
09567	-0.034680424
00615	-0.034881384
02684	-0.036197101
03040	-0.036811928
09567	-0.041070951
18592	-0.048738498
09567	-0.050031222
08969	-0.050546625
09567	-0.051862345
18694	-0.052949533
01027	-0.05415353
01535	-0.05891161
21797	-0.062470452
01939	-0.071207566
09567	-0.073849618
09567	-0.075918562
01509	-0.078621255
12298	-0.079569588
01535	-0.079849625
13799	-0.082393998
01870	-0.082982388
11204	-0.085301829
19412	-0.087247165
09567	-0.087602678
09567	-0.092224598
18694	-0.1011707
