	exp1	exp2
K18082	1.13850205	1.051230085
K01110	1.130433286	0.300521059
K06928	1.124529832	0.454611997
K01610	1.118725189	0.489408193
K01623	1.112049099	1.10271081
K00903	1.110542001	-0.700783588
K01495	1.107754922	-0.690304101
K02515	1.091945163	0.082047459
K03178	1.089160871	1.348044457
K01698	1.077256279	1.52141633
K00768	1.076763727	0.509146637
K11262	1.069876207	-1.866925253
K00854	1.057975653	-0.403607983
K00903	1.053870701	-0.410282171
K01875	1.048793661	-1.101955403
K00903	1.043932593	1.278539678
K02515	1.041166515	-0.082075182
K09647	1.024854301	0.495887407
K06928	1.020499388	1.670263035
K00903	1.011920524	1.134672124
K00134	1.00935641	0.557453804
K00869	0.986873811	-0.048342194
K00218	0.98148162	0.961642017
K00021	0.979579896	1.229866592
K08955	0.979307852	0.999639144
K00768	0.977732419	0.84734059
K03178	0.970443896	0.429892331
K02515	0.965206519	-0.916226967
K00218	0.956550596	1.11455128
K02515	0.950276924	0.307470602
K20215	0.949407525	1.195443419
K01749	0.93869198	1.975860483
K01623	0.937413707	0.759346874
K09647	0.930312234	0.799980451
K09647	0.929585695	-0.255700551
K09647	0.923433973	0.412114062
K06928	0.91782593	1.637421906
K00134	0.911597572	0.73278607
K13721	0.908626739	1.006346657
K00903	0.902839004	1.948823061
K00854	0.902376266	-0.665394124
K00432	0.897417536	0.513914707
K08070	0.893793518	-0.020698772
K03778	0.89274574	1.846168501
K01495	0.889322697	-0.177673447
K00569	0.887789154	0.910649501
K02515	0.878814622	0.149636719
K08955	0.875924118	-0.084129789
K01599	0.87514645	1.58206532
K00524	0.866958953	1.415226802
K00058	0.856008971	-0.9662057
K01948	0.85539634	-2.430756567
K00010	0.854386594	1.816592262
K02515	0.840162309	0.543351518
K00033	0.837526222	0.533302426
K00134	0.832597834	0.870409891
K12350	0.829706449	1.402888444
K03178	0.828112355	1.008807127
K09647	0.827539113	0.830416517
K00058	0.818296358	-1.205667213
K00432	0.816953273	0.826689406
K00547	0.815980116	0.362976438
K18082	0.809287357	-0.731533371
K11188	0.803709853	0.41322157
K00021	0.799577858	1.225578887
K01599	0.79577051	1.088935471
K13721	0.791689243	0.723907947
K00248	0.786842769	-0.165321737
K00025	0.784628381	-1.85395682
K09647	0.782369154	0.010466351
K08955	0.778273761	1.713460201
K00234	0.777275821	1.429016407
K04564	0.776023583	1.545088323
K00411	0.773209231	0.728548194
K03178	0.76504482	0.664591184
K06928	0.764843886	0.730925067
K02515	0.763714106	0.268222847
K06928	0.761708083	0.064543703
K09647	0.758738961	-0.383098901
K03178	0.753550011	0.783591907
K03178	0.748739528	0.994639052
K00903	0.744443327	-0.498199827
K01724	0.741578656	0.906946658
K04498	0.74096931	-0.123588559
K00903	0.74080195	-0.571550804
K09647	0.733473148	0.435460571
K12350	0.727803046	1.184406263
K00134	0.725927655	0.994661702
K04498	0.72312852	-0.476177098
K00903	0.719426042	-0.903997764
K06928	0.714634706	0.260559091
K09647	0.700550137	1.633546161
K06928	0.697791167	0.160065751
K01749	0.696623093	1.438279002
K04498	0.69572236	-0.375862552
K05858	0.693442751	-0.603402681
K02641	0.6914363	1.719415967
K00873	0.689016515	-0.022525028
K01724	0.686361457	0.738159549
K09647	0.686293466	0.491546106
K00276	0.686152121	0.795857028
K01623	0.677854292	0.421883476
K01599	0.677287598	1.603121822
K01610	0.660326924	0.136156541
K00888	0.652569328	0.504479374
K03178	0.640530036	0.437155025
K09647	0.637130402	-0.209895118
K01947	0.634108403	0.389415669
K03178	0.629356877	0.738641357
K00903	0.62665775	-0.251538331
K08658	0.626448776	1.870781528
K00255	0.624323977	-0.533536149
K00248	0.620222905	-0.358128211
K01610	0.610653508	-0.027634417
K03178	0.608839806	0.938112275
K03178	0.607507399	1.254327971
K02515	0.607247118	0.002678745
K00255	0.603509292	-0.360858199
K11262	0.598670167	0.82050138
K14376	0.595837912	0.631873593
K06928	0.58441763	0.60603446
K00903	0.583660128	0.163425128
K00569	0.581425242	0.76249491
K01610	0.580412719	-0.117470277
K12077	0.579366498	0.188866021
K08070	0.569915166	1.375565127
K00819	0.569495353	0.985489857
K00255	0.568530181	0.583110431
K00861	0.568187095	0.787815427
K03178	0.568046258	0.900268653
K00873	0.566870993	0.019195825
K09647	0.561110103	0.870508945
K02515	0.558821318	0.351478584
K18082	0.557051406	0.866679995
K01692	0.551466211	0.871026696
K01462	0.55132856	0.951399653
K00025	0.550635769	-1.094197525
K09647	0.545887593	1.022882498
K05609	0.543911953	0.039175479
K09647	0.540881939	-0.809036619
K09647	0.534772031	0.085396632
K03178	0.531241861	0.939851953
K09647	0.530102457	-0.115576178
K00033	0.524094482	0.546036949
K05858	0.520464787	-1.964921632
K08955	0.519475386	1.697498893
K04498	0.516486996	-0.302834012
K01689	0.510998024	-0.912942155
K01825	0.50936866	0.216335418
K01433	0.506584454	0.924353468
K08070	0.50567871	1.305643868
K01697	0.503810409	0.936328419
K01825	0.503327484	0.383294089
K04505	0.502984086	1.303358992
K07304	0.50207888	0.477461213
K09647	0.501678708	0.134411096
K04564	0.501472718	1.78536521
K06928	0.501176077	0.350855974
K00140	0.500895908	0.703594654
K03178	0.493513247	0.390223827
K00255	0.492449954	0.59083958
K02515	0.490412058	-0.451526444
K02515	0.489339977	-0.530810528
K02515	0.487520565	0.254542343
K11188	0.482351198	-0.60381202
K05941	0.481886587	-1.022555594
K00903	0.478875321	0.81675285
K06928	0.474921758	0.406032408
K00255	0.464270199	-0.055532078
K03178	0.459426938	0.34303998
K00255	0.458335451	-0.388211421
K00819	0.456947987	1.101553401
K01825	0.454893879	-0.366585866
K11188	0.453659938	-0.233512033
K09647	0.449201806	-0.303063946
K06928	0.449038111	0.565307039
K03178	0.444649415	0.59158075
K01875	0.442143559	-0.24472067
K05941	0.441295501	-0.195321805
K00903	0.441148574	0.326090793
K01110	0.435854671	0.406028928
K00826	0.432864059	0.157685456
K09647	0.430778519	1.175603519
K12526	0.430091581	0.455509723
K02515	0.428437236	-0.724957691
K03178	0.424966701	1.631772561
K00903	0.421526641	-0.313592457
K08955	0.412457384	0.643979133
K14376	0.404501684	0.572387079
K00524	0.404058347	0.639599813
K06928	0.397889309	0.004286839
K18696	0.392396872	-0.034776873
K09647	0.391054092	1.136422345
K00627	0.390851976	0.141810519
K00218	0.389193837	0.574402231
K01825	0.387885548	0.144684248
K13721	0.384766721	1.018505936
K00573	0.381893967	0.115876334
K08658	0.380554773	0.443077996
K01697	0.37464779	0.974541911
K13721	0.36931985	-0.859322906
K00861	0.369127124	-0.161587281
K01110	0.365666216	0.270606395
K03178	0.365318561	0.799525768
K14376	0.363105602	0.600828634
K01462	0.360376902	0.9132042
K01551	0.360126507	0.425297587
K09647	0.35998841	1.486341691
K09647	0.359712163	0.53849277
K09647	0.359229419	1.078064734
K00524	0.358526791	0.903412754
K13787	0.357477653	0.717721995
K00981	0.355973482	0.631750309
K09647	0.354049513	0.837395719
K01885	0.352871233	0.218122643
K01641	0.347261797	0.095529236
K01719	0.34626644	1.740939415
K03178	0.340868173	0.194223375
K20215	0.340213748	0.483923167
K09647	0.339628748	0.388420889
K09647	0.338023498	-0.173223681
K04498	0.337969592	-0.625733942
K11262	0.335689732	0.87046208
K02740	0.335162006	0.19398741
K01692	0.325290681	0.796113985
K00432	0.324641604	-0.2731016
K08658	0.324400183	0.451136041
K01184	0.323636271	-0.174444819
K12077	0.32313117	-0.009773406
K09647	0.322173218	-0.350614956
K03428	0.321968943	1.614002699
K12526	0.319291925	0.59231242
K01110	0.31875403	0.568072983
K08955	0.308625898	-0.161300121
K11262	0.307292919	0.783078723
K09647	0.306261735	0.924792462
K04498	0.305070106	-0.300985068
K01692	0.304922632	-0.218266274
K13721	0.304348645	0.857448088
K02515	0.298091967	-1.344792844
K06928	0.296730872	0.190959503
K00826	0.29393158	0.480410474
K02515	0.289516203	-0.366045814
K00255	0.288647996	0.752129529
K00569	0.285677528	-0.150591627
K04498	0.284356458	-0.536910353
K09647	0.28140412	-0.070978413
K06047	0.280699781	1.110497629
K02515	0.280560211	0.312128882
K07304	0.279526486	0.912698319
K01649	0.277424905	-0.500644371
K00140	0.275905745	0.597999629
K08955	0.265015994	0.923126555
K03178	0.264071425	0.903800105
K06067	0.262216622	-0.044996188
K00850	0.254405003	-2.779652153
K05609	0.252677079	0.830183194
K00635	0.247514488	-0.193207755
K02641	0.246914342	1.790037096
K04505	0.244680895	0.142166865
K08955	0.244600447	0.369544585
K08955	0.240430446	0.850388082
K00573	0.237950045	0.084611414
K02515	0.237463476	-0.530541111
K01611	0.231415883	0.369122725
K03178	0.231091079	0.931461027
K09756	0.229807574	0.176392603
K03178	0.228354502	0.186015372
K00903	0.22801118	0.166862848
K01641	0.224501009	0.430939727
K00569	0.22227692	-0.234552414
K06928	0.221573246	0.491283423
K08070	0.219991498	0.690383051
K06118	0.215804571	0.516769287
K01649	0.214370995	-0.488781036
K00547	0.212312827	0.48931993
K02515	0.20772009	-0.755567378
K08658	0.207161091	0.524277116
K09647	0.205833193	1.242333598
K01883	0.204048213	0.193112965
K13721	0.198994944	0.598916942
K00524	0.197175631	0.708876021
K05609	0.196693694	0.295354881
K01749	0.193835419	0.166034395
K08658	0.19173937	0.404189513
K08070	0.191699474	0.791974301
K05941	0.191593854	-0.269765687
K11188	0.191065213	-1.129218276
K00276	0.190920545	-0.340033776
K04498	0.190234515	0.873377878
K01110	0.184153952	0.147115385
K08658	0.180988171	0.393759152
K00903	0.178637947	-0.338595378
K09647	0.178088089	-0.023284299
K06928	0.174219879	-0.119937439
K01887	0.174106919	0.136532144
K00031	0.173582157	0.134968223
K04505	0.173034005	0.984977377
K04505	0.172051847	0.890828421
K08658	0.171868281	0.351908369
K00858	0.171427447	0.040671752
K03178	0.171248741	1.571528385
K03841	0.166200256	-0.523356372
K00903	0.164088917	0.121582395
K03178	0.162067493	0.850981603
K09647	0.16087842	0.210792902
K18082	0.157400348	0.317779181
K18696	0.15394764	0.142702051
K08955	0.143927395	-0.21533757
K04498	0.143734531	-0.574175287
K09647	0.142885046	0.032493964
K06047	0.141024485	-0.217718945
K02515	0.138637251	0.635459457
K08955	0.138561891	-0.074820824
K00411	0.135397942	0.30321213
