	exp1	exp2
K01887	-0.497503905	-0.289332815
K02515	-0.49757048	-0.135621716
K01649	-0.498372308	-0.466754456
K03164	-0.499205918	-0.665039275
K12350	-0.502223769	-0.025088959
K06928	-0.502363974	0.064174774
K00605	-0.511071651	-0.523429352
K00903	-0.511494708	0.378197944
K03178	-0.51586784	-0.271377779
K03781	-0.518821704	-1.019974141
K01714	-0.525082014	-1.22187238
K06928	-0.52599379	0.955664947
K08955	-0.526269134	-0.847814485
K09647	-0.527955284	0.048897461
K01889	-0.529586895	-0.766789827
K02740	-0.52976607	-1.141444196
K09647	-0.530344182	0.395524135
K13721	-0.538016621	-0.056401548
K09647	-0.538409796	-1.359194277
K01599	-0.539317602	0.616880093
K02740	-0.541794271	1.255137954
K01693	-0.543875376	0.039405434
K09647	-0.544056981	0.764491001
K01056	-0.544106789	0.286989575
K03178	-0.545698545	-0.408707681
K01110	-0.54648809	0.511085015
K09647	-0.548594597	0.302048355
K09647	-0.549297415	0.186586742
K05609	-0.555111413	-1.049250617
K08963	-0.556908492	-1.1522309
K06067	-0.55954037	0.298896127
K04505	-0.561799881	-0.013103751
K01876	-0.561999238	-0.507025684
K02740	-0.563327975	1.213791974
K03178	-0.565916113	0.307603638
K01611	-0.568648559	0.613711495
K01191	-0.570847112	-1.269615815
K01874	-0.571267527	-0.479700115
K10046	-0.573298957	0.928298085
K01595	-0.574924404	-0.79187865
K04505	-0.577988611	-0.766733239
K08955	-0.580019328	0.705722433
K01754	-0.580377209	1.416659453
K06928	-0.580653989	-0.399572782
K09647	-0.581494307	0.111373557
K02740	-0.582946705	0.266162922
K09756	-0.584729322	-0.936808333
K01881	-0.584955639	-0.617860875
K00524	-0.585841167	-0.845785892
K02740	-0.586514403	1.387954608
K01694	-0.591836357	0.023530551
K18082	-0.592756569	-0.428195147
K03426	-0.593470422	0.466721114
K02515	-0.594654664	-0.697803222
K02740	-0.59480397	1.264557303
K02740	-0.595094576	1.362715571
K02740	-0.595460905	1.197428032
K09647	-0.596321735	0.445225168
K00606	-0.596687511	-0.697138818
K09647	-0.598271048	-0.280938584
K13721	-0.599347944	-0.000388936
K01876	-0.599367153	-0.074744421
K02740	-0.602303643	1.148374045
K01930	-0.603130045	0.150388277
K00524	-0.60357631	-0.961401011
K01611	-0.604499355	0.720914608
K01462	-0.605892263	-0.573940971
K01893	-0.608452941	-0.854654042
K00053	-0.612065063	-1.85502142
K00297	-0.612216329	0.303446075
K02740	-0.616275827	0.888808921
K00058	-0.616705355	-1.010918241
K06928	-0.626264281	0.967801286
K01497	-0.626323432	0.384501851
K00027	-0.628782438	0.182541023
K03164	-0.630154738	-1.094520488
K13721	-0.630374399	0.111048655
K01110	-0.632144647	-0.005949591
K02740	-0.634076846	1.446181175
K15407	-0.63593265	-0.58910071
K02515	-0.637886435	-0.139603684
K01497	-0.639270208	0.351431826
K03164	-0.644606922	-0.585205957
K09880	-0.645223139	-0.303912014
K05609	-0.645956813	-1.865831035
K00606	-0.646352976	-0.503480937
K00549	-0.646847709	-0.630085351
K02515	-0.649342432	-1.25835081
K05609	-0.653832401	-1.165739965
K19389	-0.656602351	-1.375109112
K02515	-0.658719983	0.147046376
K00903	-0.65993248	-0.745449086
K00820	-0.669759859	0.840847596
K08955	-0.675314035	-0.604223916
K01246	-0.675564795	0.525040176
K08955	-0.675756911	-0.752732829
K01750	-0.677117394	-0.297686131
K02515	-0.682344647	-0.733563755
K13721	-0.684300244	-2.070229315
K09756	-0.685417882	0.065178578
K08955	-0.688599249	-0.000962798
K00033	-0.688843587	0.140001061
K05609	-0.691556565	-1.152134108
K01694	-0.694493852	-0.040833849
K13917	-0.696718623	-0.099664644
K03164	-0.704678741	-1.257915703
K01893	-0.712375298	-0.965554921
K01874	-0.714144987	-0.338057874
K02291	-0.715592426	-0.387790329
K06928	-0.716753245	-0.335155693
K03164	-0.722002778	-1.297140588
K00052	-0.72495537	-1.212952258
K13721	-0.730826639	0.140959919
K01886	-0.735039768	-0.196667147
K08955	-0.735603388	-1.564551722
K09647	-0.736184677	0.336125098
K01876	-0.737091099	0.387041706
K15407	-0.737901228	-0.666308676
K00764	-0.738753816	-1.40444523
K05609	-0.740742002	-0.227525784
K04505	-0.741115656	0.161540156
K00023	-0.743579711	-0.110106879
K05609	-0.745755007	0.369715759
K01889	-0.748564623	-0.087798019
K13721	-0.749834113	-0.304686212
K00873	-0.752158964	-0.852191853
K00654	-0.753725227	-0.780653078
K06928	-0.758206847	0.496261224
K11188	-0.758233203	-0.26165452
K02740	-0.758341966	1.089574426
K05858	-0.763319716	0.110284518
K01764	-0.763765824	0.404192312
K01611	-0.765595582	0.771885251
K09756	-0.767284611	0.289580077
K00058	-0.767660381	-1.253005098
K02515	-0.769223952	-0.204451456
K02740	-0.772486796	0.773983164
K09647	-0.772804702	0.951332511
K00627	-0.773057022	-0.640695783
K13721	-0.778128555	-0.084444418
K00640	-0.781740331	0.195755561
K08955	-0.784088628	-0.000548033
K02515	-0.784423549	-1.168324606
K09647	-0.79222878	-0.09561806
K02740	-0.795471692	1.519498803
K13624	-0.800541852	-0.260953511
K06047	-0.800869126	-1.889859909
K02515	-0.807991378	-0.230455831
K00903	-0.809675861	-0.157254682
K04505	-0.815152977	-0.371930512
K01520	-0.824133361	-0.327398735
K00863	-0.830227283	-1.217740174
K00765	-0.832394616	-0.96043689
K02515	-0.834443099	0.201034441
K03164	-0.834706867	-0.16974196
K01110	-0.834818291	-0.40106163
K09647	-0.836119684	-0.192102069
K08955	-0.836375262	-0.137736469
K08955	-0.84832515	-0.317431008
K02515	-0.852964549	-0.243346137
K06928	-0.854787241	-0.660626428
K02740	-0.860881855	1.09245073
K02641	-0.861227994	-0.562561372
K00012	-0.861603393	0.497207194
K05609	-0.863867978	-0.427778446
K09647	-0.866238942	0.668368134
K01881	-0.869628815	-0.732773277
K01711	-0.871622525	0.022490558
K01711	-0.872009903	-0.208967124
K09756	-0.873947874	0.094386395
K02515	-0.895339295	-0.312306866
K11126	-0.896874715	-0.681798641
K09647	-0.897971337	-0.154047966
K00903	-0.898901941	-0.411881432
K01693	-0.900291127	-0.384022207
K08955	-0.901838068	0.256549994
K08955	-0.912612057	-0.802998922
K09647	-0.913670027	-0.233974593
K08955	-0.923021336	0.420538121
K00800	-0.92331872	-1.223714203
K19269	-0.923870885	-0.330859108
K00864	-0.941282756	-0.752053841
K09647	-0.950077531	-0.460919651
K01764	-0.954234965	0.106731926
K05609	-0.959445506	-1.017838909
K11864	-0.965318877	-0.324652129
K01764	-0.966335668	0.241556999
K01737	-0.968835788	-0.265201072
K13721	-0.970464865	-0.224168321
K00867	-0.973054225	-0.220891388
K01711	-0.977270743	-1.938111537
K19269	-0.977928138	-0.740117717
K00764	-0.979027287	-1.224638041
K09647	-0.982956476	-0.654848334
K01711	-0.983950811	0.030247654
K08955	-0.98794052	-1.217380168
K01298	-1.002659169	0.04056504
K01190	-1.00598409	-0.564226572
K01875	-1.006243009	0.389122545
K00873	-1.014585339	-0.515531796
K00858	-1.015696848	0.373603855
K00864	-1.016647281	-0.968122506
K01611	-1.027619317	-3.102618787
K01191	-1.030748612	-0.611440845
K09647	-1.039294174	-1.441170388
K03439	-1.043449065	-0.343923219
K11864	-1.043591796	0.134533962
K03178	-1.044681359	-0.329455945
K02641	-1.046710412	1.025801071
K01880	-1.051061078	-0.732668376
K02515	-1.055470898	-2.561058993
K01887	-1.056206697	-0.813135706
K00867	-1.066021702	0.030083334
K13721	-1.07695669	-0.445728606
K01595	-1.077961164	-0.905658974
K01875	-1.089677775	0.462857347
K00524	-1.09095971	-0.895668193
K09647	-1.09124442	-0.69553899
K01875	-1.106415217	0.172456976
K00549	-1.107489737	-0.783987924
K02515	-1.11796668	-0.464053786
K00873	-1.130083623	-0.401493846
K01611	-1.145786341	-0.876787248
K03841	-1.15344022	-0.343540898
K00671	-1.157411712	-0.265192754
K00629	-1.159807875	-0.505572318
K00655	-1.163588135	-0.542818067
K01892	-1.168878717	-0.559187807
K01825	-1.200810509	-0.410962752
K14376	-1.204195811	-0.756113104
K00627	-1.209415299	-1.070351396
K01825	-1.213289749	-0.376523864
K01887	-1.235267678	-0.965386143
K00797	-1.240547815	-0.594968763
K00567	-1.241420599	-0.666971779
K01892	-1.245173514	-1.173016246
K01711	-1.24569091	0.000287381
K09756	-1.252466826	-0.204061131
K09647	-1.253465575	-0.899636471
K01880	-1.264555555	-0.802351523
K02515	-1.265293974	-1.115718144
K05901	-1.271224312	0.32608466
K03164	-1.273614469	-0.623415777
K08955	-1.286183744	0.207293366
K02740	-1.292613025	0.239772779
K09647	-1.296806522	0.417170828
K09647	-1.308497446	-0.041376043
K01892	-1.335995737	-0.992997002
K03164	-1.374261218	-0.259881027
K06928	-1.379392753	-0.114620603
K02740	-1.389024668	0.128808661
K01190	-1.435292712	-0.533724235
K00903	-1.493611279	-0.211158687
K03178	-1.550845466	0.587130256
K00767	-1.578415069	-0.893049529
K00863	-1.582247658	-0.159775502
K00764	-1.607545666	-1.452679354
K08658	-1.617877586	-0.670962016
K00863	-1.645173833	-0.254107876
K08955	-1.692407489	-0.621545915
K19269	-1.902756431	-0.167822273
K01817	-1.936382615	-0.566896411
K17462	2.255914494	-1.836291734
K01509	2.050927614	1.5678826
K13830	1.853417378	-0.324235551
K01915	1.774945831	-0.161066947
K00927	1.754051829	2.474672648
K00927	1.741489032	0.213650154
K01509	1.728286078	0.593677045
K00600	1.684812573	-0.373638454
K19412	1.674011141	1.813893153
K17462	1.673416812	2.997214685
K01509	1.664872285	2.29801653
K09567	1.627827708	1.297221127
K00600	1.616288501	-0.873014671
K01425	1.600829798	-0.58287489
K01509	1.585060738	0.541925313
K01251	1.550972777	-0.26729391
K01784	1.540077297	1.921055588
K01915	1.539127005	0.128013563
K19412	1.506514752	2.033918295
K09567	1.449805388	-0.13310998
K18106	1.445139379	0.72532013
K17462	1.436588223	2.778663942
K01803	1.429716264	-1.047304382
K01509	1.413840076	-0.920985689
K00927	1.384463698	0.664800224
K01078	1.380414334	0.708327609
K00789	1.363315535	-0.19090091
K12298	1.344052769	0.889299565
K00228	1.329801876	1.300678934
K18106	1.321507931	0.63404769
K01509	1.317981749	0.712834459
K01509	1.317152299	-0.196035254
K01784	1.300830994	1.7418686
K01507	1.299916238	-1.56276349
K00281	1.273756329	0.29541764
K01026	1.255531147	-0.093941935
K12298	1.254980151	1.268936353
K18694	1.243673266	0.95811834
K15578	1.241409029	1.782848317
K01509	1.208729211	-0.41724565
K00789	1.202300225	-0.023872425
K17462	1.197306407	1.824056018
K12298	1.188901323	1.399736123
K00286	1.18309589	1.51998155
K17462	1.176070987	2.012231508
K09567	1.144906608	0.722374254
K18694	1.140398713	1.959989347
K00234	1.0932854	-0.090841602
K03815	1.085386006	-0.878435259
K00228	1.082628403	1.217150987
K09567	1.054980193	1.406864091
K19745	1.045699836	2.091301429
K21797	1.031773438	0.778509546
K09567	1.001135029	-0.481544637
K17462	0.993926682	-0.084882598
K15578	0.992047182	1.547771957
K19412	0.971103362	0.57007432
K15578	0.96835987	0.60583
K01810	0.966801028	0.817072349
K19412	0.95972459	0.985869719
K02500	0.958450549	-0.020806812
K02277	0.956327058	0.172762012
K09567	0.942714459	1.884283688
K01858	0.938865502	0.797042525
K00281	0.938096227	0.500248638
K15055	0.927456058	0.861011157
K17462	0.903124737	-0.379895416
K00281	0.902896672	0.358253403
K01509	0.882745248	-0.721793425
K01509	0.880639061	-0.511545993
K01783	0.868017398	0.347022048
K00129	0.865186714	0.767821155
K19412	0.864247881	1.619138017
K17462	0.861366758	2.005392662
K19412	0.851464783	0.81031919
K18592	0.835928248	0.392489841
K00286	0.835107489	1.861876543
K02277	0.834386877	0.378398866
K00329	0.824029514	0.681959275
K01638	0.793569222	0.253534527
K02277	0.790627917	0.719984145
K10528	0.787894111	1.333118016
K02277	0.782642849	0.640461725
K02277	0.779243668	0.873820259
K18694	0.773855314	-1.028324953
K15055	0.77268811	2.22101948
K01810	0.760550421	0.964346859
K02777	0.760487914	0.074615319
K01638	0.756453595	0.327342636
K00329	0.753698933	0.728184561
K07965	0.750734169	1.456733488
K00226	0.729778682	1.565532806
K18694	0.729140174	0.094225557
K00329	0.706984542	0.231349797
K19412	0.703805112	1.500189145
K02777	0.703757543	-0.121092507
K00286	0.698664751	1.986870354
K01858	0.695948785	1.312071064
K18694	0.692247719	0.103230989
K01509	0.683322587	0.151576749
K01662	0.683278934	1.28321974
K01425	0.6813776	0.801251225
K09672	0.678243431	0.010650425
K00166	0.672050581	-0.113189512
K12298	0.670772654	0.865052923
K19412	0.668993729	-0.319464626
K13014	0.668575216	0.636459848
K09672	0.667890917	0.428803217
K01509	0.662905638	0.291466705
K01509	0.659170111	0.561853916
K07965	0.649661209	1.553530842
K17462	0.649050854	0.314707739
K00329	0.64619999	0.913364342
K10950	0.64469763	0.659728956
K17462	0.640778369	-0.417790266
K19412	0.635013746	0.984247153
K00927	0.62077862	0.967705909
K12381	0.620078828	0.384155352
K02277	0.595939453	0.297022431
K01509	0.595909572	1.265170522
K02277	0.587750249	-0.063153702
K01509	0.585575145	0.985353566
K02277	0.585193011	0.742228731
K01509	0.576446832	0.836106885
K19412	0.574608278	0.523950417
K19412	0.571892608	0.699979302
K08969	0.569601449	1.453454087
K08729	0.566930202	0.423305631
K00615	0.56275814	-0.486567668
K00615	0.555845892	-0.347781232
K00759	0.555744259	0.386237778
K08969	0.552476622	1.555112189
K00166	0.549164803	-0.177943328
K01509	0.53258846	1.81142165
K01784	0.523933146	-3.690256793
K01509	0.521538034	-0.104172013
K00234	0.519721152	-0.266243934
K00760	0.517319975	0.545189707
K19412	0.513200979	0.886972436
K01509	0.512656302	1.938308978
K01509	0.498471755	0.725789039
K01509	0.495963445	-1.103518302
K01006	0.49271893	1.779480068
K17195	0.487446059	-3.689737428
K21419	0.487111698	-0.169429023
K09567	0.487026066	-1.000759215
K18694	0.486492015	0.498990745
K17462	0.480258102	0.256313171
K01778	0.474196203	1.133416877
K01915	0.47249129	0.222329514
K00382	0.467714079	-0.383889444
K00234	0.465679488	0.374587435
K19412	0.463061831	0.901014109
K01823	0.461330836	1.54159455
K13810	0.459516297	0.946150002
K00387	0.457958531	-0.185099162
K00329	0.454582183	0.576067486
K02277	0.448355154	0.639412115
K08056	0.445978292	0.758297943
K00275	0.444000516	1.094729788
K03040	0.437720659	0.648968566
K01509	0.43375963	0.920929087
K17462	0.432257006	0.351265574
K18533	0.430089639	1.409444559
K17195	0.426921626	-3.790410342
K01809	0.423324709	1.006106975
K01488	0.420569257	0.160537208
K19412	0.419135768	0.177840989
K17462	0.417957892	0.303782399
K19412	0.415139195	0.508623136
K00329	0.397347181	0.750633748
K01139	0.39674433	-0.358289629
K18533	0.396314834	1.219522046
K00329	0.395872554	0.580266826
K10758	0.395184423	1.196080179
K01784	0.392771471	0.639182149
K01509	0.391632308	-0.549318591
K02777	0.389854	-1.186072169
K08969	0.386900576	0.399672792
K02684	0.378799474	0.157514261
K09672	0.377345483	0.729921012
K00927	0.372508347	0.695594468
K01507	0.367427274	0.079835229
K01139	0.367161533	-0.598026783
K18106	0.363916653	0.724537904
K21419	0.36274641	-0.367628073
K00609	0.36060497	0.520215782
K17462	0.359406148	-0.123354413
K01509	0.356897704	-0.55130245
K03416	0.355431427	0.854791281
K00927	0.353804986	0.833970993
K18694	0.352702851	-0.459621238
K18694	0.352578757	-1.465776097
K00329	0.351477316	0.595554278
K09672	0.341970769	1.489041761
K01637	0.341693843	-0.096366352
K19412	0.340890226	0.587090139
K19412	0.339243738	-0.134531076
K18533	0.337511885	1.42897488
K09672	0.327268025	-0.001679879
K00311	0.3256987	-0.395952635
K21797	0.325072859	1.460157543
K12298	0.31669771	0.942039487
K00311	0.31428747	-0.282373675
K00329	0.313951458	0.362548181
K19745	0.313191462	0.514836194
K02684	0.311151128	-0.107215911
K02684	0.309632625	0.296334177
K21797	0.307341402	1.562095481
K08969	0.298636864	0.50186841
K03783	0.291097277	0.573002167
K01509	0.287146066	0.250608926
K01823	0.284593791	1.302953132
K01807	0.284333265	-0.51350273
K09567	0.282653704	0.923099302
K00624	0.28052136	-0.407080311
K01509	0.279066061	-0.208870963
K12298	0.277934137	0.725971524
K01783	0.270274892	1.111585262
K01507	0.266444718	-0.527545863
K00329	0.264696454	0.679681784
K01809	0.261465917	0.955284056
K13810	0.260495508	0.745442613
K01783	0.256779775	-0.2124596
K09567	0.256241809	1.034713535
K01507	0.256144805	-0.397378531
K12381	0.25385384	0.093590986
K01465	0.253586975	0.285024091
K02500	0.252569413	-0.153815327
K01509	0.247323187	0.334657071
K01778	0.244243924	-0.129421259
K00163	0.243619999	-1.440216457
K12381	0.2415363	-0.13410558
K10950	0.241514302	-0.031717247
K19412	0.235860944	0.56501124
K01672	0.229484809	0.490773497
K01915	0.228917314	0.25163415
K19412	0.22433523	0.347885018
K00329	0.21647433	0.614162362
K19745	0.216329738	0.669929327
K01920	0.209281602	-0.150424721
K13014	0.208098146	0.58606473
K00111	0.206246836	-0.036575314
K19412	0.204184611	-0.140305544
K03040	0.203928532	0.152914351
K17462	0.203794428	0.099896462
K01507	0.201441883	0.331119749
K01859	0.200506807	0.560910114
K03040	0.19520924	-0.219235212
K01507	0.193977069	0.092684698
K02684	0.191727765	0.262147835
K18694	0.19115332	-0.438222835
K01972	0.185846974	-0.448929535
K17195	0.184069531	-0.597802512
K01509	0.182662746	-0.490405784
K18106	0.181135778	-0.363901698
K09567	0.180616358	0.731602622
K01637	0.179568132	-0.084629478
K01509	0.175722122	0.337864444
K01509	0.174756128	0.432837713
K03783	0.17093215	0.762818006
K00384	0.169858505	1.037347103
K17450	0.163717064	0.025913326
K01509	0.162902936	-0.438919234
K00166	0.162097883	0.909682642
K08969	0.161190779	-0.682763877
K10950	0.156729691	0.648189122
K01509	0.154737592	0.447785881
K17462	0.153771666	0.215997028
K08969	0.152118193	-0.156728167
K01535	0.150618107	0.141331621
K01637	0.14641711	-0.028162886
K01897	0.138592848	0.90469687
K12381	0.138037319	-0.098353994
K01915	0.137272118	0.344193501
K09567	0.135468107	-0.017892117
K02684	0.130666573	0.247532488
K08969	0.128667445	0.436526031
K01509	0.128615589	-0.829481683
K10764	0.126090391	0.026777183
K00940	0.125189207	-0.470763847
K01509	0.120954895	-0.733308196
K17462	0.11965662	-0.3450541
K01507	0.119404961	0.551359375
K17195	0.111190936	-0.617593771
K01535	0.110577217	0.140673733
K09567	0.108653473	0.479887027
K01915	0.102639469	0.006938233
K07767	0.099028226	1.190094576
K18592	0.096725418	0.113461548
K10758	0.09384664	0.004835373
K09567	0.0933172	0.745268057
K12298	0.089282036	-0.005370271
K00329	0.088629239	0.203810125
K17462	0.083400359	-2.291074574
K00948	0.080064582	-1.364729279
K08312	0.079617171	-0.221000094
K09672	0.078105217	0.078911041
K01509	0.076813373	1.125660025
K01509	0.071889706	-0.253291051
K00254	0.070035194	0.428237944
K19745	0.068181738	0.585497162
K01509	0.067556625	0.064299974
K13810	0.066663369	0.886926381
K18694	0.064139706	-0.664890709
K01509	0.063717845	-0.098820198
K17462	0.061908459	-0.196320437
K09567	0.061601018	0.130951717
K17462	0.054482844	-0.330066763
K01784	0.054334413	0.637442078
K03040	0.051447078	0.181682246
K02777	0.049677205	0.96283775
K01652	0.047919385	-0.381562856
K03040	0.047463342	0.286792151
K10950	0.046352219	0.400897119
K17462	0.044812475	0.26570733
K00228	0.041341461	0.640126397
K09672	0.041193729	0.280715446
K03040	0.039644265	0.032976214
K00002	0.037546319	0.102061742
K01939	0.032340725	-0.359878578
K17462	0.02918776	-1.763730388
K10528	0.026432838	-0.131688416
K00760	0.023644841	0.83405503
K17462	0.022834248	0.555690845
K03040	0.022574322	-0.901291111
K13014	0.022360566	-0.567156342
K02684	0.019514904	0.480274889
K03040	0.017979671	0.250887592
K01783	0.016571033	1.42783932
K11204	0.015475459	0.39755748
K03040	0.015288838	-0.237444499
K01509	0.012662112	0.018713198
K00382	0.01211827	-0.856793324
K10950	0.00859918	0.401516756
K03821	0.008046517	-0.561084609
K01509	0.007009035	0.073938943
K01637	0.005908713	0.083962731
K12381	0.005805852	-0.234747418
K01509	0.005251665	-0.703737691
K03040	0.004820201	-0.015315985
K01509	0.00460941	-0.259266544
K13014	0.004279742	0.123839014
K03821	0.002561076	0.292331826
K08969	0.002530588	2.008165102
K09567	0.001739641	0.308241052
K01672	0.001501265	-0.439588172
K19412	-0.003039894	-0.024382602
K13238	-0.00391764	-0.143092505
K04085	-0.005288059	0.276958698
K01869	-0.008384011	-0.485083861
K08969	-0.011405523	-0.21181462
K01509	-0.011561363	1.222944647
K00928	-0.012082437	-1.07064027
K03040	-0.012273775	-0.768664246
K01509	-0.022139395	-0.110995723
K17462	-0.024938077	0.470485888
K00209	-0.025400515	0.996998381
K01509	-0.030735323	1.563055632
K02335	-0.031739973	0.000981381
K02335	-0.032619313	0.089853836
K00254	-0.034533081	0.045368481
K09567	-0.034680424	0.907740145
K00615	-0.034881384	-0.432098497
K02684	-0.036197101	0.109672396
K03040	-0.036811928	-0.301651099
K09567	-0.041070951	1.160254764
K18592	-0.048738498	-0.011608233
K09567	-0.050031222	1.916260002
K08969	-0.050546625	0.079014681
K09567	-0.051862345	0.001707455
K18694	-0.052949533	-0.298764498
K01027	-0.05415353	1.832797084
K01535	-0.05891161	0.365729062
K21797	-0.062470452	-0.198427939
K01939	-0.071207566	-0.331241109
K09567	-0.073849618	-0.098351992
K09567	-0.075918562	1.0511327
K01509	-0.078621255	0.075686106
K12298	-0.079569588	1.498501804
K01535	-0.079849625	0.331690641
K13799	-0.082393998	-0.176764491
K01870	-0.082982388	-0.488134007
K11204	-0.085301829	0.61058772
K19412	-0.087247165	-0.822088515
K09567	-0.087602678	0.500444257
K09567	-0.092224598	-0.27132151
K18694	-0.1011707	-1.175782185
K09567	-0.103997949	0.617591168
K02684	-0.105155944	-0.458059621
K01535	-0.105255572	0.481774131
K01783	-0.106520711	0.914792766
K01509	-0.106523583	0.283764312
K00006	-0.108132558	0.747160438
K01652	-0.115506319	-0.630259135
K03644	-0.120504793	-0.896715747
K03040	-0.125242024	0.380726079
K01897	-0.127060548	0.320356377
K19267	-0.127314842	1.275048283
K10950	-0.127755425	-1.733957169
K00231	-0.12935356	0.949808611
K13713	-0.134401809	-0.5136926
K03040	-0.13583797	0.369434075
K17462	-0.137415333	0.038851144
K21797	-0.138583026	-0.508776103
K17462	-0.142394332	-0.01985371
K09567	-0.142583994	0.806030911
K01509	-0.144149972	-1.431934127
K19412	-0.146021353	-0.667321762
K00006	-0.146273838	0.931053779
K17462	-0.146382632	0.397802683
K00928	-0.147128329	-1.451847598
K00209	-0.14779276	1.299212369
K01509	-0.150655331	-0.072817919
K09567	-0.151472829	-1.088159002
K09567	-0.152834932	-0.650843134
K01509	-0.153876181	-0.253274669
K00382	-0.154755207	-0.559677613
K00942	-0.159792735	0.833691025
K01687	-0.160990184	-0.57524568
K01803	-0.165698079	0.376299278
K01870	-0.167655576	-0.666709572
K08056	-0.170436357	0.431069525
K03821	-0.17144219	-0.482539976
K01895	-0.171547698	0.256501026
K07767	-0.172827384	1.301882756
K03403	-0.174307416	-1.416228117
K10528	-0.174933988	-4.146425146
K17462	-0.175894906	0.838719576
K00329	-0.175923629	0.173226424
K01953	-0.176451922	-0.163245824
K17462	-0.177692151	-0.194893812
K01509	-0.179326542	1.354474498
K17462	-0.179481016	0.219754432
K09567	-0.183625151	0.420040055
K09672	-0.185180948	0.278658527
K02684	-0.188907206	-0.724623832
K15578	-0.189000734	0.319611557
K09567	-0.191106941	0.307583865
K01488	-0.191986217	0.057084883
K00163	-0.196770423	-0.544225252
K02335	-0.199318114	-0.722950677
K21797	-0.200079466	0.159574274
K00329	-0.201012022	0.310634279
K01535	-0.202890085	0.292075384
K01509	-0.203224181	-1.829805031
K17462	-0.204803028	-0.602475094
K01940	-0.205700333	-0.550101267
K02684	-0.207290183	-1.338859655
K01934	-0.210183194	0.330274078
K19412	-0.210472032	0.307547934
K01509	-0.213324781	-0.038468038
K02684	-0.214172808	-0.250049355
K02335	-0.223727942	-0.365624179
K01509	-0.224994198	1.425193983
K00232	-0.226042508	0.601491824
K00615	-0.228382599	-0.465503263
K13830	-0.228429391	-0.011985289
K17462	-0.237849353	-1.990483139
K19412	-0.238591453	0.662280478
K03040	-0.23955634	0.52651085
K00545	-0.242658576	-0.029801855
K00928	-0.246662646	-0.107335352
K03821	-0.247980581	0.693274028
K10950	-0.249694998	-1.261899698
K01078	-0.254945738	0.166800572
K17462	-0.25719989	1.573781106
K01895	-0.2574653	0.226730079
K02684	-0.261570897	0.295230829
K01252	-0.262811644	-0.516602315
K12298	-0.263722834	0.008445545
K00209	-0.263927103	1.115413492
K09567	-0.263989971	0.0934613
K19412	-0.273283796	-0.522970866
K01488	-0.274279889	-0.859596721
K17462	-0.275899701	0.722084241
K05522	-0.277374133	-0.046965372
K19412	-0.279747848	0.690558448
K01078	-0.281092811	-0.143574222
K13811	-0.286131125	-0.241958206
K09567	-0.288963647	-0.553871069
K09567	-0.294226448	0.895588358
K01736	-0.298381233	-0.207735005
K07965	-0.300276001	-0.23147181
K02684	-0.303435096	0.116551409
K00928	-0.305055683	-0.217726496
K01509	-0.30639703	-1.262201227
K01953	-0.306940322	-0.111049947
K01578	-0.307050158	-0.105402133
K01509	-0.307359974	-1.049040637
K07965	-0.307415239	-1.087310045
K17462	-0.308304919	-1.103383672
K01509	-0.308595827	1.523900647
K03040	-0.311954475	0.37955851
K01756	-0.313551334	-0.291283512
K09672	-0.313902294	-0.867488424
K01940	-0.317825557	-0.470375287
K07767	-0.318062433	1.193141777
K17462	-0.318650486	-0.873461539
K17877	-0.323140161	-1.909727252
K01509	-0.325808421	-1.386614402
K02777	-0.326012198	0.082145686
K01872	-0.32818172	-0.823256284
K01069	-0.328797177	0.266765397
K01509	-0.329435475	0.651690603
K11717	-0.331373707	0.817846466
K01807	-0.335980906	-0.339756048
K00232	-0.338143273	0.124882518
K02684	-0.339298421	-0.106358377
K17462	-0.339769183	-2.379518406
K12298	-0.340056676	0.190124629
K03040	-0.340648166	0.259173573
K19412	-0.341315627	-0.243116501
K09567	-0.34210634	0.980621358
K19412	-0.343233234	-0.149607247
K08969	-0.343274602	-1.005259642
K01488	-0.34670907	0.66768477
K01509	-0.351189437	-0.213340131
K03040	-0.352973604	-0.139700826
K01509	-0.357189032	-0.683674124
K01509	-0.359559597	-1.015249453
K01867	-0.362972238	-0.542838088
K01509	-0.364537939	1.204217689
K12298	-0.36650123	0.05275663
K00392	-0.371170913	-1.391556696
K03040	-0.375010764	-0.104552134
K17462	-0.375553796	-0.947796398
K01873	-0.376879322	-0.427896602
K03040	-0.37811214	0.007971269
K19412	-0.381306319	-0.09058172
K15578	-0.384236372	-0.367293231
K01934	-0.384782021	0.262676885
K02684	-0.385296827	-0.289534351
K00928	-0.386945695	-0.145683094
K03821	-0.389281504	0.224368066
K18106	-0.39008203	-0.055651321
K18106	-0.391663635	0.625809876
K21419	-0.398758945	0.118583186
K09567	-0.400049745	-0.09492982
K01869	-0.401592179	-0.289491076
K11717	-0.401652049	0.679025243
K03040	-0.407775585	-0.470241075
K08312	-0.407848789	-1.057720757
K03040	-0.411087259	-0.329710032
K01509	-0.414819486	-1.057913385
K13379	-0.41661022	1.332946948
K09567	-0.418952268	-0.08130933
K00128	-0.420109197	0.164850542
K03040	-0.421527229	-0.79586301
K01491	-0.421587959	0.291450707
K01509	-0.42686716	-0.510854662
K01757	-0.427518696	-0.215638165
K01509	-0.427868356	0.297689255
K01509	-0.437301659	-0.312403819
K02684	-0.437790752	-0.079943646
K13238	-0.439242536	-0.527636159
K00793	-0.439403084	0.034252029
